frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,xdim,ydim
0,322.6666667,291.5555556,0,Lt,1,a(14)_01.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
0,324,292.4444444,1,Lt,9,a(14)_01.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
1,416.4444444,279.1111111,1,Lt,9,a(14)_02.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
2,488.4444444,268.4444444,1,Lt,9,a(14)_03.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
3,522.2222222,263.1111111,1,Lt,9,a(14)_04.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
4,536.4444444,258.6666667,1,Lt,9,a(14)_05.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
5,548,252.4444444,1,Lt,9,a(14)_06.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
6,560.4444444,247.1111111,1,Lt,9,a(14)_07.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
7,577.3333333,240.8888974,1,Lt,9,a(14)_08.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
8,587.1111111,236.4444377,1,Lt,9,a(14)_09.jpeg,F:\Stills\APAPD\OCPD57Stills\,OCPD57a,720,480
4,1836,1242.133333,0,20,1,NA,NA,OCPD57a,3264,2448
4,1860.933333,874.9333333,1,40,1,NA,NA,OCPD57a,3264,2448
7,2037.733333,1187.733333,2,20,1,NA,NA,OCPD57a,3264,2448
7,2046.8,929.3333333,3,40,1,NA,NA,OCPD57a,3264,2448
9,2055.866667,1174.133333,4,20,1,NA,NA,OCPD57a,3264,2448
9,2060.4,997.3333333,5,40,1,NA,NA,OCPD57a,3264,2448
10,2237.2,1160.533333,6,20,1,NA,NA,OCPD57a,3264,2448
10,2241.733333,1015.466667,7,40,1,NA,NA,OCPD57a,3264,2448
23,2832.545034,522.9467205,8,80,1,NA,NA,OCPD57a,3264,2448
23,2843.439584,748.1007631,9,60,1,NA,NA,OCPD57a,3264,2448
25,2730.862563,1191.145815,10,20,1,NA,NA,OCPD57a,3264,2448
25,2716.336496,918.7820535,11,40,1,NA,NA,OCPD57a,3264,2448
27,3242.906434,1231.0925,12,20,1,NA,NA,OCPD57a,3264,2448
27,3246.537951,780.7844144,13,40,1,NA,NA,OCPD57a,3264,2448
29,2545.655205,1303.722836,14,20,1,NA,NA,OCPD57a,3264,2448
29,2578.338857,693.6280108,15,40,1,NA,NA,OCPD57a,3264,2448
37,355.8505647,1158.462163,16,20,1,NA,NA,OCPD57a,3264,2448
37,352.2190479,813.4680658,17,40,1,NA,NA,OCPD57a,3264,2448
41,838.8423013,849.783234,18,40,1,NA,NA,OCPD57a,3264,2448
41,856.9998854,639.1552586,19,60,1,NA,NA,OCPD57a,3264,2448
48,2611.022508,1241.98705,20,20,1,NA,NA,OCPD57a,3264,2448
48,2611.022508,922.4135703,21,40,1,NA,NA,OCPD57a,3264,2448
55,846.105335,1183.882781,22,20,1,NA,NA,OCPD57a,3264,2448
55,838.8423013,889.7299189,23,40,1,NA,NA,OCPD57a,3264,2448
