"CTsite","cam_id"
"OCCAJ01","B11"
"OCCAJ04","B12"
"OCCAJ06","B10"
"OCCAJ11","B13"
"OCCAJ12","B14"
"OCCAJ13","B14"
"OCCAJ17","B11"
"OCCAJ18","B11"
"OCCAJ26","B10"
"OCCAJ32","B12"
"OCCAJ35","B12"
"OCCAJ39","B10"
"OCCAJ41","B12"
"OCCAJ43","B11"
"OCCL03","B12"
"OCCL05","B13"
"OCCL10","B13"
"OCCL12","B14"
"OCCL14","B13"
"OCCL18","B12"
"OCCL20","B13"
"OCCL22","B11"
"OCCL30","B14"
"OCCL31","B10"
"OCCL39","B12"
"OCCL42","B11"
"OCCL46","B13"
"OCCL49",""
"OCCL52","B12"
"OCCL53","B13"
"OCCL58","B10"
"OCCL59","B12"
"OCCL60","B13"
"OCCL61","B10"
"OCCL62","B14"
"OCCL68","B10"
"OCCL70","B12"
"OCGB01","B12"
"OCGB03","B12"
"OCGB05","B10"
"OCGB08","B10"
"OCGB17","B12"
"OCGB18","B12"
"OCGB22","B14"
"OCGB28","B10"
"OCGB43","B13"
"OCGB48","B12"
"OCGB49","B14"
"OCGB51","B11"
"OCGB59","B14"
"OCGSV01","B12"
"OCGSV06","B13"
"OCGSV07","B12"
"OCGSV08","B14"
"OCGSV09","B13"
"OCGSV10","B14"
"OCGSV11","B12"
"OCGSV15","B14"
"OCGSV17","B12"
"OCGSV21","B13"
"OCGSV23","B12"
"OCGSV24","B12"
"OCGSV25","B12"
"OCGSV27","B13"
"OCGSV28","B10"
"OCGSV29","B12"
"OCGSV30","B10"
"OCGSV32","B13"
"OCGSV34","B12"
"OCGSV36","B13"
"OCGSV39","B12"
"OCGSV40","B10"
"OCGSV41","B10"
"OCGSV43","B12"
"OCGSV44","B13"
"OCGSV45","B13"
"OCGSV46","B10"
"OCGSV53","B14"
"OCGSV54","B11"
"OCGSV56","B14"
"OCGSV57","B10"
"OCGSV58","B11"
"OCGSV60","B13"
"OCGSV64","B12"
"OCPD08","B12"
"OCPD11","B12"
"OCPD21","B10"
"OCPD31","B12"
"OCPD33","B12"
"OCPD35","B13"
"OCPD37","B12"
"OCPD41","B13"
"OCPD44","B12"
"OCPD45","B13"
"OCPD46","B10"
"OCPD55","B13"
"OCPD57","B11"
"OCPD62","B10"
