x,y,frame_number,sequence_id,sequence_annotation,number_of_points,cam_id,xdim,ydim
436.2023331,2027.032167,0,0,B1031;3;0.9,1,B10,3264,2448
447.9058327,739.6472076,0,1,B1031;3;0.9,1,B10,3264,2448
884.8364855,1995.822834,0,2,B1032;3;0.9,1,B10,3264,2448
888.7376521,735.7460411,0,3,B1032;3;0.9,1,B10,3264,2448
1290.557806,1968.514669,0,4,B1033;3;0.9,1,B10,3264,2448
1290.557806,727.943708,0,5,B1033;3;0.9,1,B10,3264,2448
1707.982626,1925.601837,0,6,B1034;3;0.9,1,B10,3264,2448
1696.279126,681.1297095,0,7,B1034;3;0.9,1,B10,3264,2448
2090.296947,1972.415835,0,8,B1035;3;0.9,1,B10,3264,2448
2043.482949,724.0425414,0,9,B1035;3;0.9,1,B10,3264,2448
2480.413602,1874.886672,0,10,B1036;3;0.9,1,B10,3264,2448
2437.50077,622.6122113,0,11,B1036;3;0.9,1,B10,3264,2448
2948.553587,1964.613502,0,12,B1037;3;0.9,1,B10,3264,2448
2862.727923,692.8332091,0,13,B1037;3;0.9,1,B10,3264,2448
335.6848459,1759.427566,0,14,B1051;5;0.9,1,B10,3264,2448
330.8708364,977.1510322,0,15,B1051;5;0.9,1,B10,3264,2448
754.5036671,1785.904618,0,16,B1052;5;0.9,1,B10,3264,2448
747.282653,1020.477117,0,17,B1052;5;0.9,1,B10,3264,2448
1151.659446,1773.869594,0,18,B1053;5;0.9,1,B10,3264,2448
1146.103413,1021.359068,0,19,B1053;5;0.9,1,B10,3264,2448
1569.205912,1745.51531,0,20,B1054;5;0.9,1,B10,3264,2448
1555.644935,999.6615044,0,21,B1054;5;0.9,1,B10,3264,2448
1978.747433,1734.063799,0,22,B1055;5;0.9,1,B10,3264,2448
1951.625478,977.3612326,0,23,B1055;5;0.9,1,B10,3264,2448
2369.303586,1734.063799,0,24,B1056;5;0.9,1,B10,3264,2448
2320.484067,977.3612533,0,25,B1056;5;0.9,1,B10,3264,2448
2789.693889,1704.229649,0,26,B1057;5;0.9,1,B10,3264,2448
2740.87437,947.527082,0,27,B1057;5;0.9,1,B10,3264,2448
357.4115064,1634.398687,0,0,B1071;7;0.9,1,B10,3264,2448
361.5052487,1076.722442,0,1,B1071;7;0.9,1,B10,3264,2448
761.7593516,1649.471018,0,2,B1072;7;0.9,1,B10,3264,2448
776.8316828,1101.842997,0,3,B1072;7;0.9,1,B10,3264,2448
1116.796486,1634.398687,0,4,B1073;7;0.9,1,B10,3264,2448
1105.073562,1091.794777,0,5,B1073;7;0.9,1,B10,3264,2448
1590.737542,1651.145722,0,6,B1074;7;0.9,1,B10,3264,2448
1584.038728,1118.031793,0,7,B1074;7;0.9,1,B10,3264,2448
1979.268746,1627.141673,0,8,B1075;7;0.9,1,B10,3264,2448
1960.847008,1092.911241,0,9,B1075;7;0.9,1,B10,3264,2448
2387.896392,1630.49108,0,10,B1076;7;0.9,1,B10,3264,2448
2362.77584,1091.236538,0,11,B1076;7;0.9,1,B10,3264,2448
2778.1023,1626.02517,0,12,B1077;7;0.9,1,B10,3264,2448
2734.560009,1081.746556,0,13,B1077;7;0.9,1,B10,3264,2448
592.4755955,1602.281134,0,14,B1091;9;0.9,1,B10,3264,2448
591.0288667,1174.049402,0,15,B1091;9;0.9,1,B10,3264,2448
917.9895897,1593.600761,0,16,B1092;9;0.9,1,B10,3264,2448
917.9895897,1172.602673,0,17,B1092;9;0.9,1,B10,3264,2448
1298.479281,1583.473659,0,18,B1093;9;0.9,1,B10,3264,2448
1295.585823,1169.709215,0,19,B1093;9;0.9,1,B10,3264,2448
1713.690452,1564.666184,0,20,B1094;9;0.9,1,B10,3264,2448
1709.350265,1150.90174,0,21,B1094;9;0.9,1,B10,3264,2448
2194.004434,1571.899828,0,22,B1095;9;0.9,1,B10,3264,2448
2189.664248,1150.90174,0,23,B1095;9;0.9,1,B10,3264,2448
2516.624971,1555.985811,0,24,B1096;9;0.9,1,B10,3264,2448
2500.710953,1133.540994,0,25,B1096;9;0.9,1,B10,3264,2448
2901.454848,1570.453099,0,26,B1097;9;0.9,1,B10,3264,2448
2863.839898,1145.114825,0,27,B1097;9;0.9,1,B10,3264,2448
