x,y,frame_number,sequence_id,sequence_annotation,number_of_points,xdim,ydim
200.920755,2223.274483,0,0,A3;3;0.94,1,3264,2448
646.5625601,2187.383868,0,1,B3;3;0.94,1,3264,2448
1057.809192,2154.484137,0,2,C3;3;0.94,1,3264,2448
1476.533036,2112.611753,0,3,D3;3;0.94,1,3264,2448
1868.338918,2151.493252,0,4,E3;3;0.94,1,3264,2448
2257.153916,2067.748484,0,5,F3;3;0.94,1,3264,2448
2729.713682,2148.502368,0,6,G3;3;0.94,1,3264,2448
205.4070819,892.3308367,0,7,A3;3;0.94,1,3264,2448
642.0762332,883.3581829,0,8,B3;3;0.94,1,3264,2448
1054.818308,883.3581829,0,9,C3;3;0.94,1,3264,2448
1470.551267,829.5222602,0,10,D3;3;0.94,1,3264,2448
1811.512111,871.3946446,0,11,E3;3;0.94,1,3264,2448
2233.226839,772.6954528,0,12,F3;3;0.94,1,3264,2448
2699.804836,811.5769526,0,13,G3;3;0.94,1,3264,2448
97.73523637,1942.131331,0,14,A5;5;0.94,1,3264,2448
522.4408492,1972.040177,0,15,B5;5;0.94,1,3264,2448
920.2285007,1954.094869,0,16,C5;5;0.94,1,3264,2448
1341.943229,1924.186023,0,17,D5;5;0.94,1,3264,2448
1751.04607,1911.738431,0,18,E5;5;0.94,1,3264,2448
2140.301652,1910.436573,0,19,F5;5;0.94,1,3264,2448
2571.216695,1877.89012,0,20,G5;5;0.94,1,3264,2448
97.69469248,1134.716881,0,21,A5;5;0.94,1,3264,2448
509.1168887,1177.141712,0,22,B5;5;0.94,1,3264,2448
913.6327171,1180.101584,0,23,C5;5;0.94,1,3264,2448
1325.054913,1156.422608,0,24,D5;5;0.94,1,3264,2448
1717.731254,1133.730257,0,25,E5;5;0.94,1,3264,2448
2116.327339,1131.757009,0,26,F5;5;0.94,1,3264,2448
2565.241246,1085.385682,0,27,G5;5;0.94,1,3264,2448
40.82689889,1821.21691,0,28,A7;7;0.94,1,3264,2448
451.9503187,1830.980846,0,29,B7;7;0.94,1,3264,2448
817.6756117,1806.799719,0,30,C7;7;0.94,1,3264,2448
1293.408009,1817.311336,0,31,D7;7;0.94,1,3264,2448
1681.555358,1781.316612,0,32,E7;7;0.94,1,3264,2448
2092.291478,1776.206053,0,33,F7;7;0.94,1,3264,2448
2488.941138,1774.143257,0,34,G7;7;0.94,1,3264,2448
37.30548822,1242.917834,0,35,A7;7;0.94,1,3264,2448
438.8317455,1263.106305,0,36,B7;7;0.94,1,3264,2448
809.7014356,1246.65644,0,37,C7;7;0.94,1,3264,2448
1294.972462,1266.844911,0,38,D7;7;0.94,1,3264,2448
1653.682801,1233.369069,0,39,E7;7;0.94,1,3264,2448
2059.086458,1221.344384,0,40,F7;7;0.94,1,3264,2448
2485.103861,1209.3197,0,41,G7;7;0.94,1,3264,2448
284.0537728,1779.948425,0,42,A9;9;0.94,1,3264,2448
613.4238811,1768.231701,0,43,B9;9;0.94,1,3264,2448
997.4720312,1750.005688,0,44,C9;9;0.94,1,3264,2448
1412.764776,1722.666667,0,45,D9;9;0.94,1,3264,2448
1894.452287,1725.270383,0,46,E9;9;0.94,1,3264,2448
2218.614962,1699.23322,0,47,F9;9;0.94,1,3264,2448
2605.266829,1710.949943,0,48,G9;9;0.94,1,3264,2448
277.170816,1336.632136,0,49,A9;9;0.94,1,3264,2448
603.1772372,1332.145809,0,50,B9;9;0.94,1,3264,2448
986.0104657,1323.173155,0,51,C9;9;0.94,1,3264,2448
1403.238867,1297.750636,0,52,D9;9;0.94,1,3264,2448
1881.780403,1293.264309,0,53,E9;9;0.94,1,3264,2448
2203.300497,1267.84179,0,54,F9;9;0.94,1,3264,2448
2601.088148,1273.82356,0,55,G9;9;0.94,1,3264,2448
